번호,대화A,대화B,,,,,,,,,,,,,,,
3165,"가: 엄마, 저 배가 너무 아프고 계속 설사를 해요.",나: 저런! 식중독에 걸렸나 보다. 얼른 병원에 가자.,,,,,,,,,,,,,,,
3166,가: 나 어제 남편이랑 싸웠어.,나: 아직 결혼한 지 이 주일밖에 안 됐는데 신혼을 즐겨야지 왜 싸우고 그래.,,,,,,,,,,,,,,,
3167,가: 지수하고 승규 두 사람은 깨가 쏟아지더라.,나: 신혼부부니까 지금이 가장 행복할 때 아니겠어?,,,,,,,,,,,,,,,
3168,가: 몸살은 좀 나았니?,"나: 아니, 아직도 온몸이 쑤셔.",,,,,,,,,,,,,,,
3169,"가: 민준아, 요즘 너 쓸쓸해 보여.","나: 응, 여자 친구랑 헤어지고 나서 많이 외로워.",,,,,,,,,,,,,,,
3170,가: 이제 겨울이 오려나 바람도 차고 해도 빨리 지는 것 같네.,"나: 응, 오늘은 비가 오려나 특히 날이 쓸쓸하네.",,,,,,,,,,,,,,,
3171,가: 오늘 씨름 시합 정말 재미있었지?,"나: 응, 힘과 기술의 대결이 아주 볼 만했어.",,,,,,,,,,,,,,,
3172,"가: 이 문제 아무리 해도 안 풀리던데, 너 어떻게 풀었어?",나: 나도 어제 이 문제로 몇 시간 동안 씨름을 했는지 몰라.,,,,,,,,,,,,,,,
3173,가: 저분은 누구세요?,나: 저분은 우리 회사 사장님의 아드님이셔.,,,,,,,,,,,,,,,
3174,가: 아이를 낳을 때는 많이 아픈가요?,"나: 그럼, 살면서 한 번도 느껴 본 적 없는 아픔이지.",,,,,,,,,,,,,,,
3175,가: 아주머니가 요새 너무 힘들어 보여서 마음이 아파요.,나: 자식을 잃은 아픔을 우리가 어떻게 달랠 수 있겠니.,,,,,,,,,,,,,,,
3176,가: 요즘 눈이 잘 안 보여요.,나: 안과에 가서 시력 검사를 받아 보세요.,,,,,,,,,,,,,,,
3177,"가: 선생님, 제가 어제부터 계속 눈곱이 많이 끼고 가려워요.",나: 우선 안약을 처방해 드릴 테니까 며칠 사용해 보세요.,,,,,,,,,,,,,,,
3178,가: 렌즈가 알레르기를 일으켜서 안과에 갔다 왔어요.,나: 앞으로는 안경을 쓰는 게 좋겠구나.,,,,,,,,,,,,,,,
3179,가: 승규는 지수 얘기만 꺼내도 알레르기를 일으키더라.,"나: 응, 걔가 지수를 엄청 싫어하잖아.",,,,,,,,,,,,,,,
3180,가: 얼굴이 안 좋아 보여.,나: 뭘 잘못 먹었는지 요 며칠 계속 배를 앓아서 그래.,,,,,,,,,,,,,,,
3181,가: 요즘 고민이 많아서 입맛도 없어.,나: 무슨 고민인데? 혼자서 끙끙 앓고 있지 말고 속 시원하게 다 털어놓아 봐.,,,,,,,,,,,,,,,
3182,"가: 의사 선생님, 제가 살 방법은 없을까요?",나: 죄송합니다. 이미 암이 온몸에 퍼져서 치료를 할 수가 없습니다.,,,,,,,,,,,,,,,
3183,가: 뇌물 수수는 공정한 사회 발전을 방해한다고 생각해.,나: 동감이야. 뇌물은 우리 사회의 암과 같아서 뿌리 뽑아 버려야 해.,,,,,,,,,,,,,,,
3184,가: 많이 먹어도 괜찮을까요?,나: 약품은 식품과는 전혀 달라 많이 먹으면 당장 생명이 위험할 수도 있습니다.,,,,,,,,,,,,,,,
3185,가: 너 어제 그 프로그램 봤어?,나: 응. 치약 속에는 여러 화학 약품이 들어가나 봐.,,,,,,,,,,,,,,,
3186,가: 너 그 사람이랑 언제 결혼할 거니?,나: 둘 다 아직 어려서 우선 약혼부터 하기로 했어.,,,,,,,,,,,,,,,
3187,가: 네 약혼녀 좀 보여 줘 봐.,나: 알았어. 같이 얘기해서 시간을 잡아 볼게.,,,,,,,,,,,,,,,
3188,가: 네 약혼자는 어떤 사람이야?,나: 그냥 착하고 좋은 사람이야.,,,,,,,,,,,,,,,
3189,가: 뭔가 신선한 여가 활동이 없을까?,나: 운동을 해 보는 건 어때?,,,,,,,,,,,,,,,
3190,"가: 엄마, 계단에서 넘어지는 바람에 무릎에 상처가 생겼어요.",나: 흉이 생기지 않도록 연고를 발라야겠구나.,,,,,,,,,,,,,,,
3191,가: 아침마다 먹는 영양제가 열 종류는 되는 것 같아요.,나: 식사를 제대로 하는 것이 영양소 공급에 더 효과적입니다.,,,,,,,,,,,,,,,
3192,가: 지수가 예식장을 어디로 잡았는지 알아?,나: 응. 이 근처의 호텔로 잡았대.,,,,,,,,,,,,,,,
3193,가: 두 사람 관계가 좀 이상하지 않아?,나: 잘 모르겠지만 두 사람 사이에 큰돈이 오갔다는 소문이 돌고 있어.,,,,,,,,,,,,,,,
3194,가: 누가 산에 이렇게 쓰레기를 버렸을까?,나: 등산길을 오가는 사람들이 버렸을 거야.,,,,,,,,,,,,,,,
3195,가: 며칠 동안 출장이야?,"나: 사흘인데, 오가는 데 걸리는 시간 빼면 쉬지도 못하고 일만 처리하고 바로 와야 해.",,,,,,,,,,,,,,,
3196,가: 이제 날씨가 많이 서늘해졌네.,나: 구월이니 여름과 가을이 오갈 때도 됐지.,,,,,,,,,,,,,,,
3197,가: 어제 앞집으로 새로 이사 온 사람입니다.,"나: 아, 그러세요? 앞으로 오가며 친하게 지냅시다.",,,,,,,,,,,,,,,
3198,가: 이번 친구들 모임에서는 어떤 오락이 가장 재미있을까?,나: 장기 자랑이 재미있을 것 같아.,,,,,,,,,,,,,,,
3199,"가: 지영아, 컴퓨터 오락 그만하고 밥 먹으렴.",나: 이거 한 판만 하고 갈게요.,,,,,,,,,,,,,,,
3200,"가: 엄마, 오락실에서 조금만 놀다 오면 안 돼요?",나: 안 돼. 숙제 다 하고 검사받고 가.,,,,,,,,,,,,,,,
3201,가: 김승규 씨 병실이 어디죠?,나: 외과 병동 312호입니다.,,,,,,,,,,,,,,,
3202,"가: 엄마, 친구네 집에서 하루 자고 가도 돼요?",나: 외박은 절대 안 돼.,,,,,,,,,,,,,,,
3203,"가: 외삼촌, 엄마 어릴 때 어땠어요?",나: 너랑 똑같이 생겼었어. 웃을 때 보조개 들어가는 것도 말이야.,,,,,,,,,,,,,,,
3204,"가: 외삼촌, 다치셨던 다리는 이제 괜찮으세요?","나: 그래, 네 외숙모가 간호하느라고 고생이었지, 뭐.",,,,,,,,,,,,,,,
3205,가: 자녀는 몇 명이나 두셨습니까?,나: 외아들만 하나 어렵게 얻었습니다.,,,,,,,,,,,,,,,
3206,가: 저는 언니 둘에 남동생이 하나 있어요.,나: 부모님이 늦게 외아들을 두셨군요.,,,,,,,,,,,,,,,
3207,"가: 엄마, 저 이번 주말에 외할머니 댁에 다녀올게요. 외할머니께서 너무 외로우실 것 같아요.",나: 기특한 우리 딸! 네가 나보다 우리 엄마를 더 챙기는구나.,,,,,,,,,,,,,,,
3208,가: 회사 끝나고 나랑 요가 배우러 안 다닐래?,나: 요즘 피곤하고 스트레스 받는 일이 많은데 요가가 도움이 될까?,,,,,,,,,,,,,,,
3209,가: 밥을 적게 먹는데도 살이 안 빠져요.,나: 살을 빼려면 일단 운동량을 늘려야 합니다.,,,,,,,,,,,,,,,
3210,가: 승용차와 트럭이 같은 속도로 달린다면 어느 쪽 운동량이 더 클까요?,나: 질량이 큰 트럭의 운동량이 더 큽니다.,,,,,,,,,,,,,,,
3211,가: 지난 월드컵에서는 스페인이 우승을 차지했지?,나: 응. 스페인은 우승을 차지할 만큼 충분한 실력을 갖췄지.,,,,,,,,,,,,,,,
3212,가: 아기가 갑자기 먹은 걸 토하고 몸에서 열이 나요.,나: 얼른 병원 응급실로 가 보세요.,,,,,,,,,,,,,,,
3213,가: 콧물이 계속 나오고 목구멍도 아파.,나: 이따가 이비인후과에 가 봐.,,,,,,,,,,,,,,,
3214,"가: 어머니, 저희 부부는 이혼에 합의했습니다.",나: 애는 어쩔 셈이냐?,,,,,,,,,,,,,,,
3215,"가: 여보, 저 병원에서 임신이래요.","나: 와, 이제 나도 아빠가 되는구나!",,,,,,,,,,,,,,,
3216,가: 자녀는 몇이나 두셨습니까?,나: 아들 하나 딸 하나를 두었습니다.,,,,,,,,,,,,,,,
3217,가: 혹시 자매가 있나요?,"나: 아니요, 하지만 저도 언니가 있으면 좋겠다는 생각을 항상 해요.",,,,,,,,,,,,,,,
3218,가: 이번 달 말에 워크숍이 있다고 들었어요.,"나: 네, 자매 관계에 있는 기관들과 함께 가는 거라고 합니다.",,,,,,,,,,,,,,,
3219,"가: 자매님, 정말 오랜만에 뵙네요.","나: 네, 요즘 일이 바빠서 교회에 잘 나오지 못했어요.",,,,,,,,,,,,,,,
3220,가: 이 사람은 살해당한 것이 아니라 자살임이 틀림없어요.,"나: 유서도 발견되지 않았고, 스스로 목숨을 끊을 만한 이유가 전혀 없었다는데도?",,,,,,,,,,,,,,,
3221,"가: 언니, 작은아버지께도 안부 말씀 전해 주세요.",나: 그래. 언제 한번 집으로 놀러 와.,,,,,,,,,,,,,,,
3222,가: 차례에 올릴 음식은 다 준비하신 거예요?,나: 그래. 나머지는 네 작은어머니가 준비해 온다는구나.,,,,,,,,,,,,,,,
3223,가: 네 아버지가 밖에서 여자를 하나 데리고 왔구나.,나: 요즘 세상에 작은어머니가 생기다니 말이 됩니까?,,,,,,,,,,,,,,,
3224,"가: 여보, 나 왔어. 유민이는 자?",나: 오늘 체육 대회 때문에 피곤했는지 금방 잠들었어요.,,,,,,,,,,,,,,,
3225,"가: 여기 기사 봐. '세기의 연인, 영원히 잠들다'.",나: 우리 삼촌이 그 여배우 무척 좋아했었는데.,,,,,,,,,,,,,,,
3226,가: 시아주버님은 왜 아직 장가를 안 가셨대요?,나: 여자에 관심이 없고 일에만 빠져 사느라 나이만 들었어요.,,,,,,,,,,,,,,,
3227,가: 젊은 사람이 어떻게 도자기를 굽게 되었나?,"나: 저희 집은 삼대 째 도자기를 만들고 있습니다, 어르신. 저는 장남으로 가업을 잇는 것이고요.",,,,,,,,,,,,,,,
3228,가: 승규가 어린 나이에 아버지를 잃고도 잘 견뎌서 참 대견했어.,나: 장례식 내내 어머니를 챙겨드리고 참 의젓하더라.,,,,,,,,,,,,,,,
3229,가: 아까 결혼식에서 민준이의 장모를 처음 보았는데 신부랑 많이 닮았더구나.,나: 맞아요. 모녀가 둘 다 미인이죠.,,,,,,,,,,,,,,,
3230,가: 내가 옛날부터 자네를 꼭 사위로 삼고 싶었는데 드디어 소원이 이루어지는군.,나: 저도 어르신을 장인으로 모시게 되어 기쁩니다.,,,,,,,,,,,,,,,
3231,가: 바깥 구경을 하느라고 정신없구나.,"나: 응, 밖에 신기한 것들이 정말 많아.",,,,,,,,,,,,,,,
3232,가: 연락도 없이 이렇게 늦으면 어떡하니?,나: 미안해. 오늘 하루가 정신없어서 약속 시간이 지난 줄도 몰랐어.,,,,,,,,,,,,,,,
3233,"가: 지수야, 나 요즘 허리가 많이 아파.",나: 그래? 아픈 건 참지 말고 정형외과에 가 봐.,,,,,,,,,,,,,,,
3234,가: 자식도 없이 늙어만 가니 참 쓸쓸하네그려.,나: 그러니 죽으면 누가 우리 제사를 지내 주겠소.,,,,,,,,,,,,,,,
3235,"가: 민준씨, 건강을 유지하는 비결이 있으면 알려 주세요.",나: 저는 매일 하루에 한 시간씩 조깅으로 체력을 유지한답니다.,,,,,,,,,,,,,,,
3236,가: 차례는 왜 지내는 것입니까?,나: 조상을 섬기는 것이 우리의 전통적인 풍습이니까요.,,,,,,,,,,,,,,,
3237,가: 오늘 숙제는 뭐야?,나: 우리 조상들이 명절에 했던 놀이를 조사해 보는 거야.,,,,,,,,,,,,,,,
3238,가: 최초의 자동차는 바퀴가 세 개였네요?,"나: 그랬지, 이상해 보이지만 그래도 자동차의 조상이란다.",,,,,,,,,,,,,,,
3239,"가: 선생님, 수술은 잘 끝났나요?",나: 죽음의 고비는 겨우 넘겼지만 아직 상태가 많이 안 좋습니다.,,,,,,,,,,,,,,,
3240,가: 줄넘기는 단합이 필요한 단체 운동이야.,나: 맞아. 돌리는 사람과 뛰는 사람과의 호흡이 매우 중요하지.,,,,,,,,,,,,,,,
3241,"가: 지수야, 너 다이어트 어떻게 한 거야?",나: 저녁에 운동 삼아 줄넘기를 삼십 분씩 했어.,,,,,,,,,,,,,,,
3242,가: 할아버지께서 농약 중독으로 판정이 났어.,나: 저런. 농약을 잘못 사용하셨나 보다.,,,,,,,,,,,,,,,
3243,가: 술 좀 그만 마셔. 너 그러다가 알코올 중독 돼.,나: 내가 알아서 할게.,,,,,,,,,,,,,,,
3244,가: 핸드폰을 손에서 못 놓겠어.,나: 너 그거 핸드폰 중독이야.,,,,,,,,,,,,,,,
3245,가: 피부에 붉은 반점이 올라오고 가려워요.,나: 이런 증상이 언제부터 있었나요?,,,,,,,,,,,,,,,
3246,가: 몸이 으슬으슬 춥고 콧물이 나요.,나: 감기 증세인 것 같으니 오늘은 일찍 가서 쉬세요.,,,,,,,,,,,,,,,
3247,가: 위암 진단을 받으셨다고요?,나: 조기에 발견해서 수술하면 괜찮다고 해요.,,,,,,,,,,,,,,,
3248,가: 현재 경기 상황을 어떻게 진단을 하십니까?,나: 하반기부터는 경기가 점차 회복될 것으로 보입니다.,,,,,,,,,,,,,,,
3249,가: 수술을 해야 하나요?,나: 진찰 결과를 보니 수술은 하지 않아도 될 것 같습니다.,,,,,,,,,,,,,,,
3250,가: 진통제를 먹었는데도 통증이 사라지지 않아.,나: 너무 자주 먹어서 효과가 없는 거야.,,,,,,,,,,,,,,,
3251,가: 지진 피해를 입은 사람들이 온갖 질병에 시달리고 있대.,나: 질병뿐만 아니라 굶주림도 심각하지.,,,,,,,,,,,,,,,
3252,가: 뜨거운 물에 손을 데었어요.,"나: 저런, 이리 와 보렴. 얼음으로 찜질을 해 줄 테니.",,,,,,,,,,,,,,,
3253,가: 우리 온천이라도 놀러 가지 않을래?,"나: 좋아, 찜질을 할 생각을 하니 벌써 몸이 노곤해지는 것 같아.",,,,,,,,,,,,,,,
3254,가: 난 체육 선생님이 정말 무서웠어.,"나: 맞아, 잘못하면 몽둥이 찜질을 당하니 항상 기가 죽었지.",,,,,,,,,,,,,,,
3255,가: 오늘 하루 종일 너무 우울해.,나: 나에게 좋은 처방이 있어. 신나는 영화를 보러 가자.,,,,,,,,,,,,,,,
3256,"가: 의사 선생님, 제가 요즘 잠을 제대로 못 자요.",나: 그럼 우선 불면증에 대한 처방전을 써 드릴게요.,,,,,,,,,,,,,,,
3257,가: 내 청혼을 받아 주겠어요?,"나: 물론이지, 당신에게 멋진 남편이 될게.",,,,,,,,,,,,,,,
3258,가: 나 요즘 몸이 너무 뻐근해.,나: 그럼 자기 전에 가벼운 체조를 해 봐.,,,,,,,,,,,,,,,
3259,가: 배가 아프고 속이 더부룩해서 죽겠어요.,나: 밥을 급하게 먹더니 결국 체했구나.,,,,,,,,,,,,,,,
3260,가: 저기에 뭘 짓는데 저렇게 공사 규모가 커요?,나: 축구장을 새로 짓는대요.,,,,,,,,,,,,,,,
3261,가: 이모가 아이를 무사히 낳았대요.,나: 출산 예정일보다 일주일이나 빨라서 조금 걱정했는데 다행이구나.,,,,,,,,,,,,,,,
3262,가: 넌 내가 낳진 않았지만 나한테는 친딸이나 마찬가지야.,나: 저도 어머니를 친어머니처럼 생각하고 있어요.,,,,,,,,,,,,,,,
3263,가: 내 아들이야.,나: 친아들인데도 하나도 안 닮았네요.,,,,,,,,,,,,,,,
3264,가: 참 효부세요.,나: 아니에요. 저는 어려서 아버지는 일찍 여의어서 시아버지가 친아버지 같아요.,,,,,,,,,,,,,,,
3265,가: 사실 저는 다섯 살에 지금의 부모님에게 입양됐어요.,나: 그럼 친어머니나 친아버지의 소식은 모르십니까?,,,,,,,,,,,,,,,
3266,가: 서울에서는 혼자 자취하고 계시는 겁니까?,"나: 아니에요, 친언니와 둘이 살고 있어요.",,,,,,,,,,,,,,,
3267,가: 너희 오빠한테 또 전화 온 거야?,"나: 응, 겨우 두 살 위의 친오빠가 아버지보다도 더 잔소리가 심하다니까.",,,,,,,,,,,,,,,
3268,가: 너 여기 멍이 들었네. 어쩌다 그랬어?,나: 테니스 코트를 지나가다가 공에 맞았어.,,,,,,,,,,,,,,,
3269,"가: 지수야, 자꾸 콜록콜록 기침을 하는 게 감기에 걸린 것 같아.",나: 네. 아무래도 병원에 가 봐야겠어요.,,,,,,,,,,,,,,,
3270,가: 저 애가 큰딸이죠? 올해 몇 살이나 됐어요?,나: 이제 스무 살이에요.,,,,,,,,,,,,,,,
3271,가: 그 집 애들은 다들 결혼했대요?,"나: 큰아들은 아직 미혼인데, 작은아들은 벌써 결혼해서 아이가 하나 있어요.",,,,,,,,,,,,,,,
3272,가: 시골에 계신 큰아버지께서 어젯밤에 돌아가셨단다.,"나: 이런, 얼른 내려가 봐야겠어요.",,,,,,,,,,,,,,,
3273,가: 너희 아버지는 형제 관계가 어떻게 되시니?,나: 위로 큰아버지 세 분과 고모 두 분이 계시고 우리 아버지가 막내셔.,,,,,,,,,,,,,,,
3274,가: 지수는 어릴 때 부모님을 여의었다면서?,"나: 응, 그래서 큰어머니가 키워 주셨대.",,,,,,,,,,,,,,,
3275,"가: 지수야, 큰어머니들은 어디 계시니?",나: 첫째 큰어머니는 부엌에 계시고 둘째 큰어머니는 시장에 가셨어요.,,,,,,,,,,,,,,,
3276,"가: 우리 할아버지는 서자로 태어나셨는데, 할아버지의 큰어머니를 친어머니로 알고 자라셨대.",나: 옛날에는 본부인이 아이를 낳지 못하면 둘째 부인을 들이는 게 자연스러웠나 봐.,,,,,,,,,,,,,,,
3277,가: 드디어 우리 큰아들이 아이를 낳았답니다. 우리 집 첫 손주예요.,나: 기쁘시겠어요. 손주 탄생을 축하드립니다.,,,,,,,,,,,,,,,
3278,가: 드디어 우리 나라에서도 여성 총리가 탄생을 하네요.,"나: 여성들의 정치 참여가 급격히 늘어났으니, 여성 총리가 나올 때도 됐지.",,,,,,,,,,,,,,,
3279,가: 속이 답답하고 토할 거 같아.,나: 점심에 먹은 게 체했나 봐.,,,,,,,,,,,,,,,
3280,가: 선생님 요즘 목의 통증을 호소하는 환자들이 급증한 이유가 무엇일까요?,나: 컴퓨터 앞에 앉아 있는 시간이 길어지면서 목에 무리가 가기 때문입니다.,,,,,,,,,,,,,,,
3281,가: 너 얼굴이 엄청 새까맣게 탔어!,나: 지난 주말에 바닷가로 피서를 갔다 와서 그래.,,,,,,,,,,,,,,,
3282,가: 다음 주말에 다 같이 해수욕장에 놀러 갈까?,"나: 아니, 다음 주말에는 우리 집안 행사가 있어서 못 갈 것 같아. 그다음 주에 가자.",,,,,,,,,,,,,,,
3283,"가: 김 기자, 오늘 국제 영화제가 열리는 현장에 나가 계시죠?","나: 네, 관객들이 행사장을 가득 메우고 있습니다.",,,,,,,,,,,,,,,
3284,"가: 형님, 아버지랑 어머니 요즘 어떠세요?",나: 잘 계셔. 동생도 잘 지내지?,,,,,,,,,,,,,,,
3285,가: 앞으로 형님으로 모실게요.,나: 나도 앞으로 너를 동생처럼 대하마.,,,,,,,,,,,,,,,
3286,"가: 매제, 요즘 동생하고 어떻게 지내나?",나: 잘 지냅니다. 형님도 잘 지내시죠?,,,,,,,,,,,,,,,
3287,가: 민준이가 올케한테 잘못하는 거 있으면 나한테 다 말해.,나: 형님이 계셔서 얼마나 힘이 되는지 몰라요.,,,,,,,,,,,,,,,
3288,"가: 형님, 아주버님이 그렇게 잘해 주신다면서요?","나: 서방님도 동서한테 잘하던데, 뭘.",,,,,,,,,,,,,,,
3289,"가: 형님, 요새 옆집 지수 형님 안 보이던데 무슨 일 있대요?",나: 어머님 돌아가셔서 급하게 시골 내려갔잖아.,,,,,,,,,,,,,,,
3290,가: 이거 먹어 봐. 이게 피로 회복에 정말 좋대.,나: 이거 먹는다고 오랫동안 쌓인 피로가 풀릴까?,,,,,,,,,,,,,,,
